Iteration,Num_Features,Feature_Indices,Accuracy
4,4,"[9, 48, 32, 45]",90.0
4,4,"[9, 48, 32, 46]",90.5
4,4,"[9, 48, 32, 47]",90.2
4,4,"[9, 48, 32, 49]",90.1
4,4,"[9, 48, 32, 50]",90.7
5,5,"[9, 48, 32, 33, 1]",87.6
5,5,"[9, 48, 32, 33, 2]",88.1
5,5,"[9, 48, 32, 33, 3]",88.1
5,5,"[9, 48, 32, 33, 4]",87.5
5,5,"[9, 48, 32, 33, 5]",87.3
5,5,"[9, 48, 32, 33, 6]",87.7
5,5,"[9, 48, 32, 33, 7]",88.0
5,5,"[9, 48, 32, 33, 8]",89.1
5,5,"[9, 48, 32, 33, 10]",86.8
5,5,"[9, 48, 32, 33, 11]",88.8
5,5,"[9, 48, 32, 33, 12]",88.7
5,5,"[9, 48, 32, 33, 13]",87.0
5,5,"[9, 48, 32, 33, 14]",87.2
5,5,"[9, 48, 32, 33, 15]",88.5
5,5,"[9, 48, 32, 33, 16]",87.5
5,5,"[9, 48, 32, 33, 17]",87.0
5,5,"[9, 48, 32, 33, 18]",86.1
5,5,"[9, 48, 32, 33, 19]",85.2
5,5,"[9, 48, 32, 33, 20]",88.5
5,5,"[9, 48, 32, 33, 21]",87.8
5,5,"[9, 48, 32, 33, 22]",88.9
5,5,"[9, 48, 32, 33, 23]",87.5
5,5,"[9, 48, 32, 33, 24]",87.9
5,5,"[9, 48, 32, 33, 25]",88.8
5,5,"[9, 48, 32, 33, 26]",88.0
5,5,"[9, 48, 32, 33, 27]",88.4
5,5,"[9, 48, 32, 33, 28]",86.2
5,5,"[9, 48, 32, 33, 29]",87.5
5,5,"[9, 48, 32, 33, 30]",87.1
5,5,"[9, 48, 32, 33, 31]",87.6
5,5,"[9, 48, 32, 33, 34]",88.2
5,5,"[9, 48, 32, 33, 35]",87.0
5,5,"[9, 48, 32, 33, 36]",89.4
5,5,"[9, 48, 32, 33, 37]",88.3
5,5,"[9, 48, 32, 33, 38]",86.9
5,5,"[9, 48, 32, 33, 39]",88.0
5,5,"[9, 48, 32, 33, 40]",87.2
5,5,"[9, 48, 32, 33, 41]",86.3
5,5,"[9, 48, 32, 33, 42]",86.9
5,5,"[9, 48, 32, 33, 43]",88.9
5,5,"[9, 48, 32, 33, 44]",87.6
5,5,"[9, 48, 32, 33, 45]",86.9
5,5,"[9, 48, 32, 33, 46]",87.5
5,5,"[9, 48, 32, 33, 47]",87.7
5,5,"[9, 48, 32, 33, 49]",87.8
5,5,"[9, 48, 32, 33, 50]",87.6
6,6,"[9, 48, 32, 33, 36, 1]",82.9
6,6,"[9, 48, 32, 33, 36, 2]",85.4
6,6,"[9, 48, 32, 33, 36, 3]",84.6
6,6,"[9, 48, 32, 33, 36, 4]",84.3
6,6,"[9, 48, 32, 33, 36, 5]",83.3
6,6,"[9, 48, 32, 33, 36, 6]",85.0
6,6,"[9, 48, 32, 33, 36, 7]",83.7
6,6,"[9, 48, 32, 33, 36, 8]",87.0
6,6,"[9, 48, 32, 33, 36, 10]",84.7
6,6,"[9, 48, 32, 33, 36, 11]",85.8
6,6,"[9, 48, 32, 33, 36, 12]",83.5
6,6,"[9, 48, 32, 33, 36, 13]",84.5
6,6,"[9, 48, 32, 33, 36, 14]",84.0
6,6,"[9, 48, 32, 33, 36, 15]",84.6
6,6,"[9, 48, 32, 33, 36, 16]",83.8
6,6,"[9, 48, 32, 33, 36, 17]",83.6
6,6,"[9, 48, 32, 33, 36, 18]",84.0
6,6,"[9, 48, 32, 33, 36, 19]",82.1
6,6,"[9, 48, 32, 33, 36, 20]",84.3
6,6,"[9, 48, 32, 33, 36, 21]",85.1
6,6,"[9, 48, 32, 33, 36, 22]",85.3
6,6,"[9, 48, 32, 33, 36, 23]",85.1
6,6,"[9, 48, 32, 33, 36, 24]",84.4
6,6,"[9, 48, 32, 33, 36, 25]",84.1
6,6,"[9, 48, 32, 33, 36, 26]",84.7
6,6,"[9, 48, 32, 33, 36, 27]",83.0
6,6,"[9, 48, 32, 33, 36, 28]",83.4
6,6,"[9, 48, 32, 33, 36, 29]",84.5
6,6,"[9, 48, 32, 33, 36, 30]",84.3
6,6,"[9, 48, 32, 33, 36, 31]",85.2
6,6,"[9, 48, 32, 33, 36, 34]",83.8
6,6,"[9, 48, 32, 33, 36, 35]",85.2
6,6,"[9, 48, 32, 33, 36, 37]",86.7
6,6,"[9, 48, 32, 33, 36, 38]",84.6
6,6,"[9, 48, 32, 33, 36, 39]",84.5
6,6,"[9, 48, 32, 33, 36, 40]",84.6
6,6,"[9, 48, 32, 33, 36, 41]",84.1
6,6,"[9, 48, 32, 33, 36, 42]",84.7
6,6,"[9, 48, 32, 33, 36, 43]",85.6
6,6,"[9, 48, 32, 33, 36, 44]",85.1
6,6,"[9, 48, 32, 33, 36, 45]",85.1
6,6,"[9, 48, 32, 33, 36, 46]",82.0
6,6,"[9, 48, 32, 33, 36, 47]",84.2
6,6,"[9, 48, 32, 33, 36, 49]",85.3
6,6,"[9, 48, 32, 33, 36, 50]",85.8
7,7,"[9, 48, 32, 33, 36, 8, 1]",83.9
7,7,"[9, 48, 32, 33, 36, 8, 2]",79.4
